GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene name
ENSMUSG00000101383.1	0	NA	NA	NA	NA	NA	chrY	70959370	70984031	+	NA	Gm28843
ENSMUSG00000101713.1	0	NA	NA	NA	NA	NA	chrY	71407249	71410489	+	NA	Gm28668
ENSMUSG00000099531.1	0	NA	NA	NA	NA	NA	chrY	71469448	71495632	+	NA	Gm20869
ENSMUSG00000100537.1	0	NA	NA	NA	NA	NA	chrY	71629962	71633202	+	NA	Gm28485
ENSMUSG00000100535.1	0	NA	NA	NA	NA	NA	chrY	71692042	71718226	+	NA	Gm20870
ENSMUSG00000101339.1	0	NA	NA	NA	NA	NA	chrY	72122522	72122837	+	NA	Gm29180
ENSMUSG00000099731.1	0	NA	NA	NA	NA	NA	chrY	72158990	72159686	+	NA	Gm29181
ENSMUSG00000100694.1	0	NA	NA	NA	NA	NA	chrY	72271925	72275164	+	NA	Gm29182
ENSMUSG00000101425.1	0	NA	NA	NA	NA	NA	chrY	73425314	73428553	+	NA	Gm29255
ENSMUSG00000099782.1	0	NA	NA	NA	NA	NA	chrY	73669314	73695486	+	NA	Gm20903
ENSMUSG00000099554.1	0	NA	NA	NA	NA	NA	chrY	73826158	73829395	+	NA	Gm28259
ENSMUSG00000101774.6	0	NA	NA	NA	NA	NA	chrY	74118551	74121790	+	NA	Gm29616
ENSMUSG00000100805.1	0	NA	NA	NA	NA	NA	chrY	74408374	74411613	+	NA	Gm29108
ENSMUSG00000101528.1	0	NA	NA	NA	NA	NA	chrY	74470530	74496958	+	NA	Gm29110
ENSMUSG00000094507.1	0	NA	NA	NA	NA	NA	chrY	74623895	74624978	+	NA	Gm21913
ENSMUSG00000100115.1	0	NA	NA	NA	NA	NA	chrY	74635821	74636680	+	NA	Gm28174
ENSMUSG00000101218.1	0	NA	NA	NA	NA	NA	chrY	74800196	74803127	+	NA	Gm29416
ENSMUSG00000100140.1	0	NA	NA	NA	NA	NA	chrY	75133733	75136973	+	NA	Gm28789
ENSMUSG00000101146.1	0	NA	NA	NA	NA	NA	chrY	75195855	75222058	+	NA	Gm20814
ENSMUSG00000099896.1	0	NA	NA	NA	NA	NA	chrY	75356341	75359578	+	NA	Gm29278
ENSMUSG00000100544.1	0	NA	NA	NA	NA	NA	chrY	75653225	75656465	+	NA	Gm28606
ENSMUSG00000100902.1	0	NA	NA	NA	NA	NA	chrY	75715321	75741549	+	NA	Gm20850
ENSMUSG00000099425.1	0	NA	NA	NA	NA	NA	chrY	76232644	76258846	+	NA	Gm29573
ENSMUSG00000094404.1	0	NA	NA	NA	NA	NA	chrY	76378661	76379744	+	NA	Gm21776
ENSMUSG00000100708.1	0	NA	NA	NA	NA	NA	chrY	76761599	76787729	+	NA	Gm21173
ENSMUSG00000099526.1	0	NA	NA	NA	NA	NA	chrY	76923338	76926578	+	NA	Gm29313
ENSMUSG00000101960.1	0	NA	NA	NA	NA	NA	chrY	77257245	77260032	+	NA	Gm29311
ENSMUSG00000095179.2	0	NA	NA	NA	NA	NA	chrY	77318998	77345251	+	NA	Gm21638
ENSMUSG00000100149.1	0	NA	NA	NA	NA	NA	chrY	77478912	77481137	+	NA	Gm28701
ENSMUSG00000101602.1	0	NA	NA	NA	NA	NA	chrY	77496198	77507125	+	NA	Gm28700
ENSMUSG00000099416.1	0	NA	NA	NA	NA	NA	chrY	77643676	77646914	+	NA	Gm28540
ENSMUSG00000094647.7	0	NA	NA	NA	NA	NA	chrY	77692807	77719038	+	NA	Gm21650
ENSMUSG00000100722.1	0	NA	NA	NA	NA	NA	chrY	77854093	77857332	+	NA	Gm29569
ENSMUSG00000100366.1	0	NA	NA	NA	NA	NA	chrY	78052003	78053545	+	NA	Gm29568
ENSMUSG00000101060.1	0	NA	NA	NA	NA	NA	chrY	78150851	78154091	+	NA	Gm29565
ENSMUSG00000099792.1	0	NA	NA	NA	NA	NA	chrY	78212992	78239189	+	NA	Gm29564
ENSMUSG00000100849.1	0	NA	NA	NA	NA	NA	chrY	78360627	78363865	+	NA	Gm28663
ENSMUSG00000100328.6	0	NA	NA	NA	NA	NA	chrY	78651258	78654053	+	NA	Gm28816
ENSMUSG00000101804.1	0	NA	NA	NA	NA	NA	chrY	78927795	78931033	+	NA	Gm28813
ENSMUSG00000100784.1	0	NA	NA	NA	NA	NA	chrY	79165869	79167412	+	NA	Gm28421
ENSMUSG00000099636.1	0	NA	NA	NA	NA	NA	chrY	79257492	79260745	+	NA	Gm28422
ENSMUSG00000094746.7	0	NA	NA	NA	NA	NA	chrY	79319564	79345707	+	NA	Gm20916
ENSMUSG00000102016.6	0	NA	NA	NA	NA	NA	chrY	79773449	79776245	+	NA	Gm29606
ENSMUSG00000101465.1	0	NA	NA	NA	NA	NA	chrY	80071841	80075081	+	NA	Gm29190
ENSMUSG00000095578.7	0	NA	NA	NA	NA	NA	chrY	80133778	80159975	+	NA	Gm21760
ENSMUSG00000099740.1	0	NA	NA	NA	NA	NA	chrY	80926994	80953258	+	NA	Gm28897
ENSMUSG00000100187.1	0	NA	NA	NA	NA	NA	chrY	81395900	81399138	+	NA	Gm29324
ENSMUSG00000099894.1	0	NA	NA	NA	NA	NA	chrY	81458006	81484087	+	NA	Gm20911
ENSMUSG00000101962.1	0	NA	NA	NA	NA	NA	chrY	81618971	81622209	+	NA	Gm28741
ENSMUSG00000099480.1	0	NA	NA	NA	NA	NA	chrY	81910689	81913928	+	NA	Gm28124
ENSMUSG00000100298.1	0	NA	NA	NA	NA	NA	chrY	82110702	82112245	+	NA	Gm28126
ENSMUSG00000101286.1	0	NA	NA	NA	NA	NA	chrY	82225226	82251419	+	NA	Gm21317
ENSMUSG00000100035.1	0	NA	NA	NA	NA	NA	chrY	82382188	82385425	+	NA	Gm29473
ENSMUSG00000100532.1	0	NA	NA	NA	NA	NA	chrY	82675726	82678966	+	NA	Gm28225
ENSMUSG00000099925.1	0	NA	NA	NA	NA	NA	chrY	83030946	83057301	+	NA	Gm28827
ENSMUSG00000101508.1	0	NA	NA	NA	NA	NA	chrY	83191726	83194964	+	NA	Gm28832
ENSMUSG00000100092.1	0	NA	NA	NA	NA	NA	chrY	83537566	83551484	+	NA	Gm21088
ENSMUSG00000100407.1	0	NA	NA	NA	NA	NA	chrY	84035191	84038431	+	NA	Gm28472
ENSMUSG00000095153.7	0	NA	NA	NA	NA	NA	chrY	84097278	84123494	+	NA	Gm21095
ENSMUSG00000100531.1	0	NA	NA	NA	NA	NA	chrY	84257640	84260877	+	NA	Gm28475
ENSMUSG00000101160.1	0	NA	NA	NA	NA	NA	chrY	84677586	84680826	+	NA	Gm29338
ENSMUSG00000099840.1	0	NA	NA	NA	NA	NA	chrY	84746684	84772902	+	NA	Gm21409
ENSMUSG00000099633.1	0	NA	NA	NA	NA	NA	chrY	84907472	84910700	+	NA	Gm29071
ENSMUSG00000099642.1	0	NA	NA	NA	NA	NA	chrY	85185080	85186662	+	NA	Gm28348
ENSMUSG00000099921.1	0	NA	NA	NA	NA	NA	chrY	85305104	85308342	+	NA	Gm28971
ENSMUSG00000101282.1	0	NA	NA	NA	NA	NA	chrY	85665588	85668826	+	NA	Gm28152
ENSMUSG00000101961.1	0	NA	NA	NA	NA	NA	chrY	85999758	86002999	+	NA	Gm28220
ENSMUSG00000100240.1	0	NA	NA	NA	NA	NA	chrY	86061771	86087952	+	NA	Gm20820
ENSMUSG00000099824.1	0	NA	NA	NA	NA	NA	chrY	86219343	86222581	+	NA	Gm28218
ENSMUSG00000102110.1	0	NA	NA	NA	NA	NA	chrY	86540205	86543444	+	NA	Gm28440
ENSMUSG00000100973.1	0	NA	NA	NA	NA	NA	chrY	86602266	86628474	+	NA	Gm29299
ENSMUSG00000100887.1	0	NA	NA	NA	NA	NA	chrY	86766061	86769299	+	NA	Gm29297
ENSMUSG00000099496.1	0	NA	NA	NA	NA	NA	chrY	87054716	87057954	+	NA	Gm28365
ENSMUSG00000094399.7	0	NA	NA	NA	NA	NA	chrY	87116820	87142917	+	NA	Gm21477
ENSMUSG00000100243.1	0	NA	NA	NA	NA	NA	chrY	87277135	87280371	+	NA	Gm28367
ENSMUSG00000099856.1	0	NA	NA	NA	NA	NA	chrY	87550965	87575691	+	NA	Gm20906
ENSMUSG00000101931.1	0	NA	NA	NA	NA	NA	chrY	87709965	87713202	+	NA	Gm28108
ENSMUSG00000101646.1	0	NA	NA	NA	NA	NA	chrY	87907267	87907882	+	NA	Gm28106
ENSMUSG00000101915.1	0	NA	NA	NA	NA	NA	chrY	88053314	88079494	+	NA	Gm28102
ENSMUSG00000099643.1	0	NA	NA	NA	NA	NA	chrY	88214303	88217542	+	NA	Gm29162
ENSMUSG00000100440.1	0	NA	NA	NA	NA	NA	chrY	88302084	88305320	+	NA	Gm28405
ENSMUSG00000099649.1	0	NA	NA	NA	NA	NA	chrY	88418291	88419873	+	NA	Gm28406
ENSMUSG00000101984.1	0	NA	NA	NA	NA	NA	chrY	88474112	88477024	+	NA	Gm29436
ENSMUSG00000100637.1	0	NA	NA	NA	NA	NA	chrY	88534612	88560905	+	NA	Gm20819
ENSMUSG00000100067.1	0	NA	NA	NA	NA	NA	chrY	88696464	88699701	+	NA	Gm28407
ENSMUSG00000101533.1	0	NA	NA	NA	NA	NA	chrY	88994449	88997689	+	NA	Gm29393
ENSMUSG00000102045.1	0	NA	NA	NA	NA	NA	chrY	89052805	89079015	+	NA	Gm21294
ENSMUSG00000100492.1	0	NA	NA	NA	NA	NA	chrY	89222066	89225296	+	NA	Gm28672
ENSMUSG00000099982.1	0	NA	NA	NA	NA	NA	chrY	89391527	89394761	+	NA	Gm28670
ENSMUSG00000100330.1	0	NA	NA	NA	NA	NA	chrY	89656605	89657301	+	NA	Gm28531
ENSMUSG00000100270.1	0	NA	NA	NA	NA	NA	chrY	89846230	89846923	+	NA	Gm21803
ENSMUSG00000100246.1	0	NA	NA	NA	NA	NA	chrY	89999716	90000411	+	NA	Gm20879
ENSMUSG00000100533.6	0	NA	NA	NA	NA	NA	chrY	90275223	90277501	+	NA	Gm29504
ENSMUSG00000096178.7	0	NA	NA	NA	NA	NA	chrY	90401247	90433263	+	NA	Gm20837
ENSMUSG00000095134.2	0	NA	NA	NA	NA	NA	chrY	90753056	90763485	+	NA	Gm21857
ENSMUSG00000096768.7	0	NA	NA	NA	NA	NA	chrY	90784737	90816464	+	NA	Erdr1
ENSMUSG00000099871.1	0	NA	NA	NA	NA	NA	chrY	90837412	90844040	+	NA	Gm21742
ENSMUSG00000101492.1	0	NA	NA	NA	NA	NA	chrY	321658	323295	-	NA	Gm29089
ENSMUSG00000100968.1	0	NA	NA	NA	NA	NA	chrY	670178	695777	-	NA	Gm2098
ENSMUSG00000053211.10	0	NA	NA	NA	NA	NA	chrY	725127	797409	-	NA	Zfy1
ENSMUSG00000101036.1	0	NA	NA	NA	NA	NA	chrY	841782	847750	-	NA	Gm28588
ENSMUSG00000101107.1	0	NA	NA	NA	NA	NA	chrY	869708	873309	-	NA	Gm28587
ENSMUSG00000075874.1	0	NA	NA	NA	NA	NA	chrY	991629	991748	-	NA	n-R5s1
ENSMUSG00000106618.1	0	NA	NA	NA	NA	NA	chrY	991656	991716	-	NA	AC145392.1
ENSMUSG00000091749.7	0	NA	NA	NA	NA	NA	chrY	1055763	1058868	-	NA	Tspy-ps
ENSMUSG00000069044.6	0	NA	NA	NA	NA	NA	chrY	1298960	1459782	-	NA	Usp9y
ENSMUSG00000077793.1	0	NA	NA	NA	NA	NA	chrY	1308272	1308377	-	NA	Gm25565
ENSMUSG00000100576.1	0	NA	NA	NA	NA	NA	chrY	2061233	2061919	-	NA	Gm28975
ENSMUSG00000000103.12	0	NA	NA	NA	NA	NA	chrY	2106014	2170409	-	NA	Zfy2
ENSMUSG00000099973.1	0	NA	NA	NA	NA	NA	chrY	2298528	2314624	-	NA	Gm18796
ENSMUSG00000102072.1	0	NA	NA	NA	NA	NA	chrY	2336695	2337393	-	NA	Gm29551
ENSMUSG00000101290.1	0	NA	NA	NA	NA	NA	chrY	2380663	2381361	-	NA	Gm8480
ENSMUSG00000100103.1	0	NA	NA	NA	NA	NA	chrY	2397265	2397544	-	NA	Gm29553
ENSMUSG00000093335.1	0	NA	NA	NA	NA	NA	chrY	2446009	2446108	-	NA	Gm22119
ENSMUSG00000099748.1	0	NA	NA	NA	NA	NA	chrY	2637210	2647300	-	NA	Uba1y-ps1
ENSMUSG00000069036.3	0	NA	NA	NA	NA	NA	chrY	2662470	2663658	-	NA	Sry
ENSMUSG00000095573.2	0	NA	NA	NA	NA	NA	chrY	2720338	2720674	-	NA	Gm16501
ENSMUSG00000101114.1	0	NA	NA	NA	NA	NA	chrY	2721835	2722099	-	NA	Gm28628
ENSMUSG00000102053.1	0	NA	NA	NA	NA	NA	chrY	2785164	2796205	-	NA	Gm4064
ENSMUSG00000100700.1	0	NA	NA	NA	NA	NA	chrY	2806114	2806692	-	NA	Gm6137
ENSMUSG00000093918.7	0	NA	NA	NA	NA	NA	chrY	3294975	3306449	-	NA	Gm21677
ENSMUSG00000094511.7	0	NA	NA	NA	NA	NA	chrY	3326749	3345329	-	NA	Gm21693
ENSMUSG00000101141.1	0	NA	NA	NA	NA	NA	chrY	3349655	3350532	-	NA	Gm21139
ENSMUSG00000093987.7	0	NA	NA	NA	NA	NA	chrY	3367146	3410167	-	NA	Gm21704
ENSMUSG00000095948.7	0	NA	NA	NA	NA	NA	chrY	3399187	3410167	-	NA	Gm21708
ENSMUSG00000100285.1	0	NA	NA	NA	NA	NA	chrY	3383122	3384035	-	NA	Gm21147
ENSMUSG00000100960.1	0	NA	NA	NA	NA	NA	chrY	3414420	3415289	-	NA	Gm21156
ENSMUSG00000099970.1	0	NA	NA	NA	NA	NA	chrY	3747150	3747731	-	NA	Rhoay-ps2
ENSMUSG00000101016.1	0	NA	NA	NA	NA	NA	chrY	3804120	3804701	-	NA	Gm2325
ENSMUSG00000100360.1	0	NA	NA	NA	NA	NA	chrY	3846544	3853545	-	NA	Gm28649
ENSMUSG00000100132.1	0	NA	NA	NA	NA	NA	chrY	3875524	3875928	-	NA	Gm18177
ENSMUSG00000100656.1	0	NA	NA	NA	NA	NA	chrY	3948852	3949713	-	NA	Gm8525
ENSMUSG00000100082.1	0	NA	NA	NA	NA	NA	chrY	3950042	3950336	-	NA	Gm28414
ENSMUSG00000101558.1	0	NA	NA	NA	NA	NA	chrY	3986024	3986221	-	NA	Gm28647
ENSMUSG00000100753.1	0	NA	NA	NA	NA	NA	chrY	3991192	3991881	-	NA	Gm29435
ENSMUSG00000101108.1	0	NA	NA	NA	NA	NA	chrY	4164027	4164705	-	NA	Gm29038
ENSMUSG00000100683.1	0	NA	NA	NA	NA	NA	chrY	4311903	4312582	-	NA	Gm28186
ENSMUSG00000099684.6	0	NA	NA	NA	NA	NA	chrY	4768839	4794934	-	NA	Gm28356
ENSMUSG00000100984.1	0	NA	NA	NA	NA	NA	chrY	4885199	4887558	-	NA	Gm28357
ENSMUSG00000100137.1	0	NA	NA	NA	NA	NA	chrY	4892858	4893402	-	NA	Gm29352
ENSMUSG00000100958.1	0	NA	NA	NA	NA	NA	chrY	4903522	4904050	-	NA	Gm29351
ENSMUSG00000099575.1	0	NA	NA	NA	NA	NA	chrY	4940855	4941396	-	NA	Gm29350
ENSMUSG00000100597.1	0	NA	NA	NA	NA	NA	chrY	4951399	4951897	-	NA	Gm29349
ENSMUSG00000101041.1	0	NA	NA	NA	NA	NA	chrY	5235230	5237553	-	NA	Gm29353
ENSMUSG00000095693.1	0	NA	NA	NA	NA	NA	chrY	5248358	5249441	-	NA	Gm21820
ENSMUSG00000101576.1	0	NA	NA	NA	NA	NA	chrY	5440159	5460208	-	NA	Gm20915
ENSMUSG00000102102.1	0	NA	NA	NA	NA	NA	chrY	5472489	5472868	-	NA	Gm29159
ENSMUSG00000099761.1	0	NA	NA	NA	NA	NA	chrY	5617082	5620317	-	NA	Gm29158
ENSMUSG00000100056.1	0	NA	NA	NA	NA	NA	chrY	5899577	5902813	-	NA	Gm28173
ENSMUSG00000102338.1	0	NA	NA	NA	NA	NA	chrY	5912030	5915279	-	NA	Gm37236
ENSMUSG00000099721.1	0	NA	NA	NA	NA	NA	chrY	5998623	5998731	-	NA	Gm28435
ENSMUSG00000100292.1	0	NA	NA	NA	NA	NA	chrY	6198426	6201677	-	NA	Gm29198
ENSMUSG00000099815.1	0	NA	NA	NA	NA	NA	chrY	6224821	6227191	-	NA	Gm28430
ENSMUSG00000094346.1	0	NA	NA	NA	NA	NA	chrY	6237452	6237995	-	NA	Gm21746
ENSMUSG00000100275.1	0	NA	NA	NA	NA	NA	chrY	6368873	6369572	-	NA	Gm28915
ENSMUSG00000100472.1	0	NA	NA	NA	NA	NA	chrY	6454155	6454854	-	NA	Gm28918
ENSMUSG00000100289.1	0	NA	NA	NA	NA	NA	chrY	6576814	6577051	-	NA	Gm28917
ENSMUSG00000079806.2	0	NA	NA	NA	NA	NA	chrY	6680420	6682872	-	NA	Gm21719
ENSMUSG00000100479.1	0	NA	NA	NA	NA	NA	chrY	6694077	6694455	-	NA	Gm28921
ENSMUSG00000099352.1	0	NA	NA	NA	NA	NA	chrY	6717539	6718238	-	NA	Gm28920
ENSMUSG00000101388.1	0	NA	NA	NA	NA	NA	chrY	6724210	6727474	-	NA	Gm28444
ENSMUSG00000101055.1	0	NA	NA	NA	NA	NA	chrY	6870144	6870842	-	NA	Gm28443
ENSMUSG00000096686.2	0	NA	NA	NA	NA	NA	chrY	6916299	6918282	-	NA	Gm20830
ENSMUSG00000102039.1	0	NA	NA	NA	NA	NA	chrY	7027310	7028007	-	NA	Gm20788
ENSMUSG00000094484.2	0	NA	NA	NA	NA	NA	chrY	7165067	7169293	-	NA	Gm21244
ENSMUSG00000100453.1	0	NA	NA	NA	NA	NA	chrY	7340241	7340940	-	NA	Gm28397
ENSMUSG00000100858.1	0	NA	NA	NA	NA	NA	chrY	7353769	7354149	-	NA	Gm28400
ENSMUSG00000099965.1	0	NA	NA	NA	NA	NA	chrY	7377151	7377469	-	NA	Gm28399
ENSMUSG00000100948.1	0	NA	NA	NA	NA	NA	chrY	7378875	7382220	-	NA	Gm28395
ENSMUSG00000094081.2	0	NA	NA	NA	NA	NA	chrY	7632773	7638489	-	NA	Gm20826
ENSMUSG00000101956.1	0	NA	NA	NA	NA	NA	chrY	7809402	7810101	-	NA	Gm28574
ENSMUSG00000101351.1	0	NA	NA	NA	NA	NA	chrY	7822918	7823298	-	NA	Gm28573
ENSMUSG00000100412.1	0	NA	NA	NA	NA	NA	chrY	7846293	7846611	-	NA	Gm28572
ENSMUSG00000102026.1	0	NA	NA	NA	NA	NA	chrY	7848017	7851362	-	NA	Gm28571
ENSMUSG00000099861.1	0	NA	NA	NA	NA	NA	chrY	7994832	7997168	-	NA	Gm29049
ENSMUSG00000095324.2	0	NA	NA	NA	NA	NA	chrY	8069167	8071507	-	NA	Gm20825
ENSMUSG00000100312.1	0	NA	NA	NA	NA	NA	chrY	8092143	8102756	-	NA	Gm29048
ENSMUSG00000100258.1	0	NA	NA	NA	NA	NA	chrY	8137438	8138136	-	NA	Gm29045
ENSMUSG00000101229.1	0	NA	NA	NA	NA	NA	chrY	8144037	8147387	-	NA	Gm29046
ENSMUSG00000100421.1	0	NA	NA	NA	NA	NA	chrY	8247645	8257801	-	NA	Gm29044
ENSMUSG00000103618.1	0	NA	NA	NA	NA	NA	chrY	8251025	8254057	-	NA	Gm37951
ENSMUSG00000100239.1	0	NA	NA	NA	NA	NA	chrY	8344309	8345010	-	NA	Gm28146
ENSMUSG00000100460.1	0	NA	NA	NA	NA	NA	chrY	8357995	8358375	-	NA	Gm28145
ENSMUSG00000101331.1	0	NA	NA	NA	NA	NA	chrY	8381404	8382101	-	NA	Gm28148
ENSMUSG00000101142.1	0	NA	NA	NA	NA	NA	chrY	8498821	8499519	-	NA	Gm28142
ENSMUSG00000101858.1	0	NA	NA	NA	NA	NA	chrY	8570057	8570756	-	NA	Gm28144
ENSMUSG00000100804.1	0	NA	NA	NA	NA	NA	chrY	8602110	8602724	-	NA	Gm28150
ENSMUSG00000101672.1	0	NA	NA	NA	NA	NA	chrY	8612097	8612475	-	NA	Gm28149
ENSMUSG00000099929.1	0	NA	NA	NA	NA	NA	chrY	8635533	8636232	-	NA	Gm28098
ENSMUSG00000099939.1	0	NA	NA	NA	NA	NA	chrY	8644953	8654329	-	NA	Gm28330
ENSMUSG00000099566.1	0	NA	NA	NA	NA	NA	chrY	8764232	8764931	-	NA	Gm28099
ENSMUSG00000101053.1	0	NA	NA	NA	NA	NA	chrY	8832820	8835169	-	NA	Gm20815
ENSMUSG00000101056.1	0	NA	NA	NA	NA	NA	chrY	8911341	8912030	-	NA	Gm28329
ENSMUSG00000099523.1	0	NA	NA	NA	NA	NA	chrY	8943096	8943711	-	NA	Gm28327
ENSMUSG00000100542.1	0	NA	NA	NA	NA	NA	chrY	8956615	8956981	-	NA	Gm28097
ENSMUSG00000099956.1	0	NA	NA	NA	NA	NA	chrY	8980000	8980699	-	NA	Gm29365
ENSMUSG00000100080.1	0	NA	NA	NA	NA	NA	chrY	8986691	8990039	-	NA	Gm29364
ENSMUSG00000091077.3	0	NA	NA	NA	NA	NA	chrY	9130998	9133924	-	NA	Gm21292
ENSMUSG00000094679.2	0	NA	NA	NA	NA	NA	chrY	9199823	9202190	-	NA	Gm21721
ENSMUSG00000100109.1	0	NA	NA	NA	NA	NA	chrY	9230661	9231360	-	NA	Gm29366
ENSMUSG00000100848.1	0	NA	NA	NA	NA	NA	chrY	9244108	9244489	-	NA	Gm29281
ENSMUSG00000100105.1	0	NA	NA	NA	NA	NA	chrY	9267564	9268263	-	NA	Gm29330
ENSMUSG00000094773.2	0	NA	NA	NA	NA	NA	chrY	9344835	9347184	-	NA	Gm21812
ENSMUSG00000101094.1	0	NA	NA	NA	NA	NA	chrY	9377057	9377672	-	NA	Gm29533
ENSMUSG00000101647.1	0	NA	NA	NA	NA	NA	chrY	9387097	9387479	-	NA	Gm29534
ENSMUSG00000096223.2	0	NA	NA	NA	NA	NA	chrY	9413517	9416148	-	NA	Gm21874
ENSMUSG00000101737.1	0	NA	NA	NA	NA	NA	chrY	9420764	9430932	-	NA	Gm28849
ENSMUSG00000100752.1	0	NA	NA	NA	NA	NA	chrY	9451586	9452286	-	NA	Gm28847
ENSMUSG00000100463.1	0	NA	NA	NA	NA	NA	chrY	9462448	9477366	-	NA	Gm28848
ENSMUSG00000100571.1	0	NA	NA	NA	NA	NA	chrY	9609196	9609575	-	NA	Gm29474
ENSMUSG00000100087.1	0.349158563940251	-2.03864735551252	4.03770672571746	-0.504902285876215	0.613627468528956	NA	chrY	9707916	9726230	-	NA	Gm29475
ENSMUSG00000100049.1	0	NA	NA	NA	NA	NA	chrY	9986126	9986276	-	NA	Gm28506
ENSMUSG00000100477.1	0	NA	NA	NA	NA	NA	chrY	10019063	10019766	-	NA	Gm28507
ENSMUSG00000100800.1	0	NA	NA	NA	NA	NA	chrY	10065782	10066481	-	NA	Gm21301
ENSMUSG00000099439.1	0	NA	NA	NA	NA	NA	chrY	10084918	10085614	-	NA	Gm29142
ENSMUSG00000095032.2	0	NA	NA	NA	NA	NA	chrY	10144734	10147183	-	NA	Gm21310
ENSMUSG00000099372.1	0	NA	NA	NA	NA	NA	chrY	10151536	10154879	-	NA	Gm28509
ENSMUSG00000101699.1	0	NA	NA	NA	NA	NA	chrY	10277697	10278393	-	NA	Gm28508
ENSMUSG00000095242.2	0	NA	NA	NA	NA	NA	chrY	10322617	10324589	-	NA	Gm20834
ENSMUSG00000100995.1	0	NA	NA	NA	NA	NA	chrY	10496819	10497518	-	NA	Gm29525
ENSMUSG00000100273.1	0	NA	NA	NA	NA	NA	chrY	10510481	10510860	-	NA	Gm29526
ENSMUSG00000095950.2	0	NA	NA	NA	NA	NA	chrY	10533608	10536042	-	NA	Gm20737
ENSMUSG00000075359.2	0	NA	NA	NA	NA	NA	chrY	10641256	10643107	-	NA	Gm20775
ENSMUSG00000100731.1	0	NA	NA	NA	NA	NA	chrY	10678429	10679128	-	NA	Gm29523
ENSMUSG00000100074.1	0	NA	NA	NA	NA	NA	chrY	10713101	10713800	-	NA	Gm29524
ENSMUSG00000099676.1	0	NA	NA	NA	NA	NA	chrY	10726739	10727118	-	NA	Gm29528
ENSMUSG00000094813.2	0	NA	NA	NA	NA	NA	chrY	10750003	10752450	-	NA	Gm20777
ENSMUSG00000099482.1	0	NA	NA	NA	NA	NA	chrY	10756786	10760126	-	NA	Gm28955
ENSMUSG00000100742.1	0	NA	NA	NA	NA	NA	chrY	10885360	10886057	-	NA	Gm28953
ENSMUSG00000100730.1	0	NA	NA	NA	NA	NA	chrY	10930577	10931277	-	NA	Gm20776
ENSMUSG00000100567.1	0	NA	NA	NA	NA	NA	chrY	11010495	11011198	-	NA	Gm28958
ENSMUSG00000094838.2	0	NA	NA	NA	NA	NA	chrY	11197023	11199374	-	NA	Gm20828
ENSMUSG00000101319.1	0	NA	NA	NA	NA	NA	chrY	11251235	11251608	-	NA	Gm28957
ENSMUSG00000101789.1	0	NA	NA	NA	NA	NA	chrY	11345841	11426704	-	NA	Gm28956
ENSMUSG00000101690.1	0	NA	NA	NA	NA	NA	chrY	11763934	11764634	-	NA	Gm28390
ENSMUSG00000101842.1	0	NA	NA	NA	NA	NA	chrY	11777110	11777489	-	NA	Gm28391
ENSMUSG00000101871.1	0	NA	NA	NA	NA	NA	chrY	11800541	11801238	-	NA	Gm28389
ENSMUSG00000100919.1	0	NA	NA	NA	NA	NA	chrY	12019192	12019884	-	NA	Gm28655
ENSMUSG00000101123.1	0	NA	NA	NA	NA	NA	chrY	12056604	12056983	-	NA	Gm28654
ENSMUSG00000101276.1	0	NA	NA	NA	NA	NA	chrY	12175562	12176249	-	NA	Gm28657
ENSMUSG00000101469.1	0	NA	NA	NA	NA	NA	chrY	12330535	12331231	-	NA	Gm29556
ENSMUSG00000104505.5	0	NA	NA	NA	NA	NA	chrY	12513576	12516809	-	NA	Gm37739
ENSMUSG00000103352.1	0	NA	NA	NA	NA	NA	chrY	13091541	13093901	-	NA	Gm38084
ENSMUSG00000102335.5	0	NA	NA	NA	NA	NA	chrY	13120039	13122400	-	NA	Gm37231
ENSMUSG00000095769.1	0	NA	NA	NA	NA	NA	chrY	13132949	13133492	-	NA	Gm21891
ENSMUSG00000103474.1	0	NA	NA	NA	NA	NA	chrY	13210160	13213395	-	NA	Gm37252
ENSMUSG00000095759.1	0	NA	NA	NA	NA	NA	chrY	13223385	13223928	-	NA	Gm21828
ENSMUSG00000103176.1	0	NA	NA	NA	NA	NA	chrY	13307100	13310334	-	NA	Gm37147
ENSMUSG00000104522.5	0	NA	NA	NA	NA	NA	chrY	13335782	13338145	-	NA	Gm38159
ENSMUSG00000095462.1	0	NA	NA	NA	NA	NA	chrY	13348520	13349063	-	NA	Gm21725
ENSMUSG00000102177.5	0	NA	NA	NA	NA	NA	chrY	13423452	13426687	-	NA	Gm37870
ENSMUSG00000102346.5	0	NA	NA	NA	NA	NA	chrY	13452287	13454653	-	NA	Gm37378
ENSMUSG00000093883.1	0	NA	NA	NA	NA	NA	chrY	13465036	13465579	-	NA	Gm21866
ENSMUSG00000104048.1	0	NA	NA	NA	NA	NA	chrY	13580700	13582258	-	NA	Gm37561
ENSMUSG00000102799.1	0	NA	NA	NA	NA	NA	chrY	13873382	13874078	-	NA	Gm32295
ENSMUSG00000102613.1	0	NA	NA	NA	NA	NA	chrY	13910345	13911041	-	NA	Gm20836
ENSMUSG00000103524.1	0	NA	NA	NA	NA	NA	chrY	13917047	13920389	-	NA	Gm37263
